|	|__appear	|__win_count	|__win_rate
1	35	29	0.83
2	10	0	0.00
3	19	0	0.00
4	38	18	0.50
5	54	23	0.43
6	16	16	1.00
7	51	38	0.75
8	27	9	0.33
9	23	13	0.59
10	14	14	1.00
11	66	23	0.35
12	43	15	0.36
13	32	15	0.50
14	23	13	0.59
15	41	38	0.93
16	81	52	0.65
17	50	6	0.13
18	109	66	0.61
19	35	28	0.80
20	16	0	0.00
21	72	39	0.56
22	56	32	0.57
23	28	25	0.89
24	104	38	0.37
25	10	0	0.00
26	12	2	0.18
27	24	24	1.00
28	28	14	0.52
29	110	50	0.45
30	45	20	0.45
31	82	18	0.23
32	5	0	0.00
33	29	5	0.17
34	31	30	0.97
35	2	2	1.00
36	20	18	0.90
37	79	51	0.66
38	20	15	0.75
39	32	2	0.07
40	94	39	0.41
41	67	65	0.97
42	18	16	0.89
43	34	14	0.44
44	37	23	0.62
45	29	24	0.86
48	8	1	0.14
50	17	3	0.19
51	59	32	0.54
53	67	29	0.43
54	18	11	0.61
55	57	16	0.30
56	2	2	1.00
57	59	45	0.78
58	21	2	0.11
59	50	8	0.19
60	4	0	0.00
61	37	7	0.19
62	17	11	0.69
63	30	25	0.86
64	102	34	0.34
67	176	80	0.45
69	18	8	0.44
74	12	10	0.83
75	144	115	0.80
76	42	14	0.36
77	38	22	0.58
78	18	13	0.76
79	5	0	0.00
80	86	30	0.35
81	112	64	0.58
82	16	5	0.31
83	20	2	0.11
84	2	0	0.00
85	21	5	0.24
86	23	6	0.27
89	50	19	0.38
90	37	24	0.67
91	33	27	0.82
92	46	33	0.73
96	54	29	0.57
98	39	8	0.21
99	43	28	0.65
101	25	23	0.92
102	16	12	0.75
103	64	14	0.23
104	24	14	0.61
105	71	46	0.66
106	4	2	0.50
107	35	0	0.00
110	39	15	0.38
111	10	10	1.00
112	42	28	0.67
113	16	2	0.13
114	39	15	0.39
115	26	14	0.58
117	95	38	0.43
119	36	17	0.47
120	15	14	0.93
121	187	109	0.58
122	70	23	0.33
126	64	25	0.39
127	2	0	0.00
131	21	20	0.95
134	36	19	0.53
136	20	2	0.11
141	266	144	0.55
143	12	12	1.00
150	32	24	0.75
154	3	0	0.00
157	206	67	0.33
161	43	21	0.49
163	10	0	0.00
201	25	23	0.92
202	203	106	0.52
203	14	14	1.00
222	109	67	0.63
223	2	0	0.00
236	104	11	0.11
238	157	80	0.51
240	65	45	0.71
245	42	22	0.52
254	3	1	0.33
267	21	18	0.86
268	30	0	0.00
412	178	68	0.38
420	4	2	0.50
421	14	14	1.00
427	10	10	1.00
429	63	15	0.25
432	97	59	0.61
497	79	42	0.54
498	77	49	0.64
516	85	59	0.69
